Date,CAC40,FTSE100,DAX
2022-08-04,6513.39013671875,7448.10009765625,13662.6796875
2022-08-05,6472.35009765625,7439.7001953125,13573.9296875
2022-08-08,6524.43994140625,7482.39990234375,13687.6904296875
2022-08-09,6490.0,7488.2001953125,13534.9697265625
2022-08-10,6523.43994140625,7507.10009765625,13700.9296875
2022-08-11,6544.669921875,7465.89990234375,13694.509765625
2022-08-12,6553.85986328125,7500.89990234375,13795.849609375
2022-08-15,6569.9501953125,7509.2001953125,13816.6103515625
2022-08-16,6592.580078125,7536.10009765625,13910.1201171875
2022-08-17,6528.31982421875,7515.7998046875,13626.7099609375
2022-08-18,6557.39990234375,7541.89990234375,13697.41015625
2022-08-19,6495.830078125,7550.39990234375,13544.51953125
2022-08-22,6378.740234375,7533.7998046875,13230.5703125
2022-08-23,6362.02001953125,7488.10009765625,13194.23046875
2022-08-24,6386.759765625,7471.5,13220.0595703125
2022-08-25,6381.56005859375,7479.7001953125,13271.9599609375
2022-08-26,6274.259765625,7427.2998046875,12971.4697265625
2022-08-29,6222.27978515625,,12892.990234375
2022-08-30,6210.22021484375,7361.60009765625,12961.1396484375
2022-08-31,6125.10009765625,7284.2001953125,12834.9599609375
2022-09-01,6034.31005859375,7148.5,12630.23046875
2022-09-02,6167.509765625,7281.2001953125,13050.26953125
2022-09-05,6093.22021484375,7287.39990234375,12760.7802734375
2022-09-06,6104.60986328125,7300.39990234375,12871.4404296875
2022-09-07,6105.919921875,7237.7998046875,12915.9697265625
2022-09-08,6125.89990234375,7262.10009765625,12904.3203125
2022-09-09,6212.330078125,7351.10009765625,13088.2099609375
2022-09-12,6333.58984375,7473.0,13402.26953125
2022-09-13,6245.68994140625,7385.89990234375,13188.9501953125
2022-09-14,6222.41015625,7277.2998046875,13028.0
2022-09-15,6157.83984375,7282.10009765625,12956.66015625
2022-09-16,6077.2998046875,7236.7001953125,12741.259765625
2022-09-19,6061.58984375,,12803.240234375
2022-09-20,5979.47021484375,7192.7001953125,12670.830078125
2022-09-21,6031.330078125,7237.60009765625,12767.150390625
2022-09-22,5918.5,7159.5,12531.6298828125
2022-09-23,5783.41015625,7018.60009765625,12284.1904296875
2022-09-26,5769.39013671875,7021.0,12227.919921875
2022-09-27,5753.81982421875,6984.60009765625,12139.6796875
2022-09-28,5765.009765625,7005.39990234375,12183.2802734375
2022-09-29,5676.8701171875,6881.60009765625,11975.5498046875
2022-09-30,5762.33984375,6893.7998046875,12114.3603515625
2022-10-03,5794.14990234375,6908.7998046875,12209.48046875
2022-10-04,6039.68994140625,7086.5,12670.48046875
2022-10-05,5985.4599609375,7052.60009765625,12517.1796875
2022-10-06,5936.419921875,6997.2998046875,12470.7802734375
2022-10-07,5866.93994140625,6991.10009765625,12273.0
2022-10-10,5840.5498046875,6959.2998046875,12272.9404296875
2022-10-11,5833.2001953125,6885.2001953125,12220.25
2022-10-12,5818.47021484375,6826.2001953125,12172.259765625
2022-10-13,5879.18994140625,6850.2998046875,12355.580078125
2022-10-14,5931.919921875,6858.7998046875,12437.8095703125
2022-10-17,6040.66015625,6920.2001953125,12649.0302734375
2022-10-18,6067.0,6936.7001953125,12765.6103515625
2022-10-19,6040.72021484375,6925.0,12741.41015625
2022-10-20,6086.89990234375,6943.89990234375,12767.41015625
2022-10-21,6035.39013671875,6969.7001953125,12730.900390625
2022-10-24,6131.35986328125,7014.0,12931.4501953125
2022-10-25,6250.5498046875,7013.5,13052.9599609375
2022-10-26,6276.31005859375,7056.10009765625,13195.8095703125
2022-10-27,6244.02978515625,7073.7001953125,13211.23046875
2022-10-28,6273.0498046875,7047.7001953125,13243.330078125
2022-10-31,6266.77001953125,7094.5,13253.740234375
2022-11-01,6328.25,7186.2001953125,13338.740234375
2022-11-02,6276.8798828125,7144.10009765625,13256.740234375
2022-11-03,6243.27978515625,7188.60009765625,13130.1904296875
2022-11-04,6416.43994140625,7334.7998046875,13459.849609375
2022-11-07,6416.60986328125,7300.0,13533.51953125
2022-11-08,6441.5,7306.10009765625,13688.75
2022-11-09,6430.56982421875,7296.2998046875,13666.3203125
2022-11-10,6556.830078125,7375.2998046875,14146.08984375
2022-11-11,6594.6201171875,7318.0,14224.8603515625
2022-11-14,6609.169921875,7385.2001953125,14313.2998046875
2022-11-15,6641.66015625,7369.39990234375,14378.509765625
2022-11-16,6607.22021484375,7351.2001953125,14234.0302734375
2022-11-17,6576.1201171875,7346.5,14266.3798828125
2022-11-18,6644.4599609375,7385.5,14431.8603515625
2022-11-21,6634.4501953125,7376.89990234375,14379.9296875
2022-11-22,6657.52978515625,7452.7998046875,14422.349609375
2022-11-23,6679.08984375,7465.2001953125,14427.58984375
2022-11-24,6707.31982421875,7466.60009765625,14539.5595703125
2022-11-25,6712.47998046875,7486.7001953125,14541.3798828125
2022-11-28,6665.2001953125,7474.0,14383.3603515625
2022-11-29,6668.97021484375,7512.0,14355.4501953125
2022-11-30,6738.5498046875,7573.10009765625,14397.0400390625
2022-12-01,6753.97021484375,7558.5,14490.2998046875
2022-12-02,6742.25,7556.2001953125,14529.3896484375
2022-12-05,6696.9599609375,7567.5,14447.6103515625
2022-12-06,6687.7900390625,7521.39990234375,14343.1904296875
2022-12-07,6660.58984375,7489.2001953125,14261.1904296875
2022-12-08,6647.31005859375,7472.2001953125,14264.5595703125
2022-12-09,6677.64013671875,7476.60009765625,14370.7197265625
2022-12-12,6650.5498046875,7446.0,14306.6298828125
2022-12-13,6744.97998046875,7502.89990234375,14497.8896484375
2022-12-14,6730.7900390625,7495.89990234375,14460.2001953125
2022-12-15,6522.77001953125,7426.2001953125,13986.23046875
2022-12-16,6452.6298828125,7332.10009765625,13893.0703125
2022-12-19,6473.2900390625,7361.2998046875,13942.8701171875
2022-12-20,6450.43017578125,7370.60009765625,13884.66015625
2022-12-21,6580.240234375,7497.2998046875,14097.8203125
2022-12-22,6517.97021484375,7469.2998046875,13914.0703125
2022-12-23,6504.89990234375,7473.0,13940.9296875
2022-12-27,6550.66015625,,13995.099609375
2022-12-28,6510.490234375,7497.2001953125,13925.599609375
2022-12-29,6573.47021484375,7512.7001953125,14071.7197265625
2022-12-30,6473.759765625,7451.7001953125,13923.58984375
